Item-code,Annual Demand,Unit price,TotalC,DPercentage,CPercentage,CummulativeCP,CummulativeDP,Class
ASMB-R44 ,114797,1.5,172195.5,0.7142857142857143,0.0055513024253310735,99.96989032212555,92.14285714285695,C
ASMB-R132 ,371,459.0,170289.0,0.7142857142857143,0.00548983997088892,99.97538016209644,92.85714285714266,C
ASMB-R16 ,11000,15.0,165000.0,0.7142857142857143,0.005319331226307465,99.98069949332275,93.57142857142837,C
ASMB-R62 ,320,382.5,122400.0,0.7142857142857143,0.003945976618788083,99.98464546994154,94.28571428571408,C
ASMB-R92 ,575,204.12,117369.0,0.7142857142857143,0.003783785373942308,99.98842925531548,94.99999999999979,C
ASM B-R80 ,236,477.0,112572.0,0.7142857142857143,0.0036291379079265696,99.9920583932234,95.7142857142855,C
ASMB-R22 ,500,170.1,85050.0,0.7142857142857143,0.002741873459378484,99.99480026668279,96.4285714285712,C
ASMB-R10 ,200,397.5,79500.0,0.7142857142857143,0.0025629504999481424,99.99736321718274,97.14285714285691,C
ASMB-R89 ,193,142.2,27444.6,0.7142857142857143,0.0008847691986273809,99.99824798638136,97.85714285714262,C
ASMB-R140 ,1253,16.2,20298.6,0.7142857142857143,0.0006543937989716649,99.99890238018033,98.57142857142833,C
ASMB-R19 ,162,118.5,19197.0,0.7142857142857143,0.0006188800094025722,99.99952126018972,99.28571428571404,C
ASMB-R70 ,1100,13.5,14850.0,0.7142857142857143,0.0004787398103676719,100.00000000000009,99.99999999999974,C
